ZIP,ALand
36611,10894952
36048,26070325
35051,44835274
36572,36878729
36528,16204185
35057,8913021
36426,8826252
36020,10222339
35621,10544874
35151,45178321
35986,145527967
35901,96637272
36033,16154540
35136,16819854
36744,6156793
35563,5028328
36344,16152099
35080,53950336
35903,30893300
36467,6618368
35954,19297932
35576,7948840
35771,12755795
36420,1347464
36455,2818242
36553,2579767
36750,8463711
35064,6869817
36606,361044263
35650,15525177
35661,42811752
36765,3010370
35476,43353277
36801,154497144
35477,1858530
36867,72497364
36022,64250372
36067,86435482
35582,25224456
36421,17703764
35049,9758714
36572,73566058
35143,48586750
36877,17386667
35581,2403095
35148,13529257
36078,27817447
36619,33596548
35406,159585773
36854,28436022
35178,53311740
36850,7054656
35057,8833073
36280,4036422
36276,7764034
35442,11819855
35120,27893577
36830,152375113
36509,19400655
35022,104798633
35443,10231296
35548,27687370
35040,62376107
35447,5331435
35004,110354665
35120,145753222
35242,10526469
35242,7151912
35043,16899453
35114,8011090
36271,177682000
35477,536090556
35160,10137995
35150,83495162
36853,311017327
35475,32625607
35404,9071936
35401,1160279
35404,12325885
35404,6641779
35578,153528165
36863,6948352
36558,398488735
35541,145680961
36067,5349273
36025,8020338
36051,292756927
36562,971507312
36507,17478851
36526,144260774
36551,55584945
36567,39371387
35045,64410623
36532,12365598
36535,164751029
36547,34146324
36535,51913165
32506,81473914
36016,343304919
36027,14630161
35034,691793540
35121,215168178
35049,117119604
36908,578537985
35031,248719996
35079,181928636
36089,786335890
36037,32192358
36456,264349344
36201,6794602
36207,16676645
36203,23519631
36201,54153086
36265,41129558
36545,447191122
36265,13690915
36272,87901995
36250,97226556
36250,89660986
36862,675980103
36863,132910142
36854,9688028
35983,233670765
36275,373046666
35045,64410623
36346,208213147
35085,244387804
36091,256404827
36904,752526706
36784,249006278
36567,737211648
36451,832734330
36545,107872399
36251,383065566
36264,243823026
36346,208213147
36453,128071075
36330,40693675
36330,40693675
35660,4408833
35674,5259140
35662,112842678
35646,118959123
35674,259170483
36432,480256655
35136,251376931
36421,359424460
36421,49938350
35661,8140717
36467,154675236
36467,249816869
36049,374196528
35019,147196339
35179,89849348
35055,70914526
35055,47570866
35055,54256128
35070,125741724
36362,172610491
36401,90973774
36360,61929515
36360,36136505
36322,23042778
36350,110987657
36703,182250003
36701,2711300
36767,541139544
36701,173119838
36986,108426406
35971,214238075
36421,15438185
35962,151362799
35967,116782043
35967,91371430
36022,280794165
36024,165330802
36092,105723667
36054,23526031
36426,944040122
36426,105290359
36504,169008231
36041,226396958
35901,13659980
35901,22461766
35904,11907025
35901,4308625
35904,32549925
35906,7358690
35905,57350608
35954,95634687
35903,2384912
35555,154824533
35179,132870985
35546,427697476
35653,28670329
35593,145933248
36477,431950139
36344,340277721
36375,163344878
35443,570899935
36744,228114074
39851,338005193
36352,137915812
35057,187272055
36303,6427118
